                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 0.8489,                0.70004,                 1.0031,                 0.8222,                0.85969,                0.91832,                0.72684,                0.87698,                0.97735,                0.97644,              0.0017624,              0.0017624,              0.0017624
                    122,                0.88879,                0.71844,                      1,                 0.8222,                0.85969,                0.91832,                0.72684,                0.87698,                0.97735,                0.97644,              0.0017604,              0.0017604,              0.0017604
                    123,                0.86761,                0.72308,                  1.004,                0.82566,                0.86489,                0.92335,                0.68311,                0.98563,                 1.0042,                 1.0001,              0.0017584,              0.0017584,              0.0017584
                    124,                 0.9435,                0.69764,                 1.0063,                0.82566,                0.86489,                0.92335,                0.68311,                0.98563,                 1.0042,                 1.0001,              0.0017565,              0.0017565,              0.0017565
                    125,                0.97455,                0.76493,                 1.0433,                0.80915,                 0.8931,                0.92875,                0.71718,                0.82863,                0.90794,                0.96623,              0.0017545,              0.0017545,              0.0017545
                    126,                0.89622,                0.69996,                 1.0064,                0.80915,                 0.8931,                0.92875,                0.71718,                0.82863,                0.90794,                0.96623,              0.0017525,              0.0017525,              0.0017525
                    127,                 0.8576,                0.68793,                 1.0105,                0.83212,                  0.902,                0.93536,                0.69946,                0.87291,                0.81893,                0.97867,              0.0017505,              0.0017505,              0.0017505
                    128,                 0.9266,                0.72043,                0.99601,                0.83212,                  0.902,                0.93536,                0.69946,                0.87291,                0.81893,                0.97867,              0.0017485,              0.0017485,              0.0017485
                    129,                0.90927,                0.73086,                 1.0204,                0.82988,                0.89532,                0.93512,                0.72949,                0.81284,                0.70181,                0.96493,              0.0017466,              0.0017466,              0.0017466
                    130,                0.90439,                0.73133,                 1.0106,                0.82988,                0.89532,                0.93512,                0.72949,                0.81284,                0.70181,                0.96493,              0.0017446,              0.0017446,              0.0017446
                    131,                0.89945,                 0.7106,                  1.014,                0.82393,                0.89629,                0.93369,                0.73245,                0.84805,                0.72072,                0.97077,              0.0017426,              0.0017426,              0.0017426
                    132,                0.93651,                0.70414,                0.99647,                0.82393,                0.89629,                0.93369,                0.73245,                0.84805,                0.72072,                0.97077,              0.0017406,              0.0017406,              0.0017406
                    133,                0.91403,                0.70656,                 1.0286,                0.83675,                0.89087,                0.92453,                0.69449,                0.88963,                0.72106,                0.97359,              0.0017386,              0.0017386,              0.0017386
